6956/023,30 ONONDAGA AVE,1875 ALEMANY BLVD,94112,36036, ,http://propertymap.sfplanning.org/?&search=6956/023,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,11/15/12,Did Not Comply,,,,,,,,,,,267.6,893.7,282.2,,,,269.2,899.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3775/042,21 South Park,21 SOUTH PARK,94107,24812,Office,http://propertymap.sfplanning.org/?&search=3775/042,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,15.9,45.3,-67.8,-67.8,30.6,1.2,16.6,46.1,99,16,44.2,-66.9,-66.9,30.3,1.2,16.4,44.7
0208/026,Montgomery Building Inc.,601 MONTGOMERY ST,94111,213374, ,http://propertymap.sfplanning.org/?&search=0208/026,Violation - Insufficient Data,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/13,Pending,85,73.4,,-37.5,,986.58,,71,,93,54,155.5,-49.5,,,,54.2,156.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707/058,Hearst Parking Center,51 3RD ST,94105,328885,Parking,http://propertymap.sfplanning.org/?&search=3707/058,Complied,,Complied,,Complied,,Complied,,Complied,,Pending,,11/15/12,Complied,,0,,,,0.3,,0,,,225.9,754.5,222.7,,98.4,,225.9,754.5,,65,204.2,,,98.4,5.3,65,204.2,,86.6,272,,,131.1,7.1,86.6,272,,,,,,,,,
3731/095,1025 HOWARD ST,1025 HOWARD ST,94103,18387, ,http://propertymap.sfplanning.org/?&search=3731/095,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/14,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0287/018,Chen Properties - 461 Bush St.,461 BUSH ST,94108,18985,Office,http://propertymap.sfplanning.org/?&search=0287/018,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/13,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,50.5,-65.9,-65.9,25.9,1.4,18.3,51.4,,,,,,,,,
4107/001B,950 TENNESSEE ST,950 TENNESSEE ST,94107,38500,Other,http://propertymap.sfplanning.org/?&search=4107/001B,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/13,Complied,,,,,,,,,,,89.7,299.5,28.1,,214.1,,89.7,299.5,,78.4,246.2,99.9,99.9,214.1,6.4,78.4,246.2,,74.7,234.6,90.6,90.6,204.1,6.1,74.7,234.6,,,,,,,,,
3807/001,900 7TH ST,960 7TH ST,94107,16771,Office,http://propertymap.sfplanning.org/?&search=3807/001,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Pending,,4/1/14,Pending,,,,,,,,,,,,,,,221.7,,,,1,199.3,402.9,156.3,156.3,221.7,13.2,199.7,403.4,1,189,396,159.1,159.1,213.4,12.7,193.7,400.8,,,,,,,,,
0349/012,135 GOLDEN GATE AVE,135 GOLDEN GATE AVE,94102,31480, ,http://propertymap.sfplanning.org/?&search=0349/012,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/14,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0306/007A,450 Geary St,450 GEARY ST,94102,20295,Office,http://propertymap.sfplanning.org/?&search=0306/007A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/14,Complied,,,,,,,,,,,,,,,32.8,,,,98,21.6,57,-62,-62,32.8,1.6,21,56.4,,46.3,81.5,-44.9,-44.9,59,2.9,46.3,81.5,,,,,,,,,
5431A/001F,Digital Realty Trust,200 Paul Ave,94124,338687,Data Center,http://propertymap.sfplanning.org/?&search=5431A/001F,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/14,Complied,13,608.8,,18.4,,18733.3,,608.8,,14,617.7,2063.2,16.9,,18110.7,,617.7,2063.2,19,655.8,2059.3,13.9,13.9,18110.7,53.5,655.8,2059.3,24,752,2361.3,10.9,10.9,20766.9,61.3,752,2361.3,,,,,,,,,
3707/044,111 STEVENSON ST,111 STEVENSON ST,94105,36000, ,http://propertymap.sfplanning.org/?&search=3707/044,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/14,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0296/001,449 Powell Street,449 POWELL ST,94102,34173,Retail Store,http://propertymap.sfplanning.org/?&search=0296/001,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,,,,,,,,,,100,18.7,57.2,-84.1,,63.6,,18.4,56.9,100,27.9,76.7,-77.4,-77.3,63.6,2.3,26.9,75.6,,46.8,146.9,19.3,19.3,130.3,3.8,46.8,146.9,,48.7,152.8,24.1,24.1,135.6,4,48.7,152.8
